name,slug,value,date_of_information,ranking,region
"Iceland","iceland","3,337,000.0","2019 est.","147","Europe"
"Haiti","haiti","3,139,000.0","2019 est.","148","Central America and the Caribbean"
"Guinea","guinea","2,981,000.0","2019 est.","149","Africa"
"Guyana","guyana","2,743,000.0","2019 est.","150","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","2,653,000.0","2019 est.","151","Africa"
"Gabon","gabon","2,651,000.0","2019 est.","152","Africa"
"Montenegro","montenegro","2,447,000.0","2019 est.","153","Europe"
"Virgin Islands","virgin-islands","2,438,000.0","2019 est.","154","Central America and the Caribbean"
"Niger","niger","2,374,000.0","2019 est.","155","Africa"
"Suriname","suriname","2,372,000.0","2019 est.","156","South America"
"Maldives","maldives","2,286,000.0","2019 est.","157","South Asia"
"Togo","togo","2,244,000.0","2019 est.","158","Africa"
"Macau","macau","2,012,000.0","2019 est.","159","East and Southeast Asia"
"Guam","guam","1,828,000.0","2019 est.","160","Australia and Oceania"
"South Sudan","south-sudan","1,778,000.0","2019 est.","161","Africa"
"Chad","chad","1,771,000.0","2019 est.","162","Africa"
"Barbados","barbados","1,703,000.0","2019 est.","163","Central America and the Caribbean"
"Fiji","fiji","1,691,000.0","2019 est.","164","Australia and Oceania"
"Malawi","malawi","1,542,000.0","2019 est.","165","Africa"
"Liberia","liberia","1,346,000.0","2019 est.","166","Africa"
"Wake Island","wake-island","1,275,000.0","2019 est.","167","Australia and Oceania"
"Aruba","aruba","1,254,000.0","2019 est.","168","Central America and the Caribbean"
"Eswatini","eswatini","1,224,000.0","2019 est.","169","Africa"
"Rwanda","rwanda","1,189,000.0","2019 est.","170","Africa"
"Seychelles","seychelles","1,156,000.0","2019 est.","171","Africa"
"French Polynesia","french-polynesia","1,030,000.0","2019 est.","172","Australia and Oceania"
"Cabo Verde","cabo-verde","1,002,000.0","2019 est.","173","Africa"
"Bhutan","bhutan","934,000.0","2019 est.","174","South Asia"
"Sierra Leone","sierra-leone","899,000.0","2019 est.","175","Africa"
"Somalia","somalia","882,000.0","2019 est.","176","Africa"
"Faroe Islands","faroe-islands","870,000.0","2019 est.","177","Europe"
"Cayman Islands","cayman-islands","808,000.0","2019 est.","178","Central America and the Caribbean"
"Eritrea","eritrea","798,000.0","2019 est.","179","Africa"
"Bermuda","bermuda","796,000.0","2019 est.","180","North America"
"Lesotho","lesotho","736,000.0","2019 est.","181","Africa"
